time_s,x_m,y_m,yaw_rad,speed_mps,steer_rad,accel_mps2,progress_m,lateral_error_m,heading_error_rad,compute_ms,reward
3.6,29.03370631886872,19.0180075478882,2.234547740393319,10.950000000000015,0.18320343909764736,3.0,21.414112775818175,0.9415264604204984,-0.08382791169961124,0.21443099831230938,4.096285723514817
3.6500000000000004,28.654980920314802,19.423707033333,2.270518095949072,11.100000000000016,0.17323685520275656,3.0,21.94128055409797,0.9381818714151152,-0.08112927504205292,0.22392800019588321,4.136382742915932
3.7,28.257487063763712,19.821708143889417,2.3060365622026957,11.250000000000016,0.16886503180352577,3.0,22.47358758867874,0.9328536784732396,-0.0796552311523282,0.1699780004855711,4.177784916110136
3.75,27.840771503862804,20.21061448497487,2.3418688899076354,11.400000000000016,0.16812974967131172,3.0,23.282121311279347,0.9273846005039488,-0.09622691704326547,0.1726829977997113,6.386010648102067
3.8000000000000003,27.399130999096478,20.58271650667019,2.384605615029632,11.550000000000017,0.19721100064119162,3.0,23.828161629384134,0.9257870555341033,-0.08923081510770903,0.19618700025603175,4.286197372759356
3.85,26.938640521635946,20.943512183152286,2.4247540528742286,11.700000000000017,0.18322228928473808,3.0,24.38006344754368,0.9215792172635285,-0.08538864838505678,0.20558400137815624,4.333795442479534
3.9000000000000004,26.459124271851618,21.291535768836898,2.463927008008463,11.850000000000017,0.17664900434198805,3.0,24.93803956847999,0.9150257986122567,-0.08301504648143077,0.17278299856116064,4.382824224769373
3.95,25.960473131622525,21.625222808363798,2.5031060309070368,12.000000000000018,0.17451219207422775,3.0,25.786850172035177,0.9082502011935922,-0.09979245913036783,0.15000100029283203,6.707932836675034
4.0,25.438004684212775,21.935195341761915,2.5496294974852862,12.150000000000018,0.2038975427510811,3.0,26.36091349761532,0.906053896239179,-0.09096372316240098,0.1384290007990785,4.510271742507504
4.05,24.897720415073213,22.228994437268234,2.592533794188137,12.300000000000018,0.18617892864634944,3.0,26.94174565147352,0.9010203444977558,-0.08597441718458487,0.12525399870355614,4.5653260071292365
4.1000000000000005,24.339836608659695,22.505168129971878,2.633862056401039,12.450000000000019,0.177371334772807,3.0,27.529513073922367,0.8935862913488043,-0.08270364406276531,0.12768899978254922,4.62138572557554
4.15,23.764664360119326,22.76222237426482,2.6747733358353827,12.60000000000002,0.17356977634644896,3.0,28.424475085138514,0.886227066134407,-0.09898168102422922,0.13428100282908417,7.077464255438485
4.2,23.16916183408311,22.989781139168496,2.7230186518857327,12.75000000000002,0.2015585122925024,3.0,29.030148904362857,0.8839418639052754,-0.0888276896258251,0.13102500088280067,4.7636371959472585
4.25,22.558452960127067,23.19728938303207,2.7666314814070088,12.90000000000002,0.18057664680120453,3.0,29.643132035900578,0.8787196671122974,-0.08320118968821699,0.1389700009895023,4.823146203725798
4.3,21.933083574282612,23.383486539961307,2.8080962003146883,13.05000000000002,0.16992357591899424,3.0,30.26345334485704,0.8711105656202536,-0.07955745598181352,0.13182699694880284,4.882505148878938
