episode,reward,episode_length,episode_time_s,success,progress_m,lap_time_s,best_lap_s,mean_speed_mps
102,141.088354,109,5.45,0,23.828161629384134,5.45,5.45,9.554748491942888
103,358.745259,166,8.3,0,51.675134797705844,8.3,8.3,12.9530942246318
104,339.597065,171,8.55,0,49.20447968279119,8.55,8.55,12.271601852774632
105,178.564346,144,7.2,0,29.030148904362857,7.2,7.2,9.58977962583305
106,187.943791,133,6.65,0,29.952375216629843,6.65,6.65,10.20375931262971
107,96.3813,82,4.1000000000000005,0,17.853219940729172,4.1000000000000005,4.1000000000000005,8.259803965687757
108,200.528757,181,9.05,0,32.16808302818729,9.05,9.05,9.337246643006809
109,128.678932,130,6.5,0,22.74173017312694,6.5,6.5,8.550415411591537
110,158.918512,116,5.800000000000001,0,26.073046889793368,5.800000000000001,5.800000000000001,9.752358265221128
111,425.274313,246,12.3,0,61.10538351833526,12.3,12.3,14.44078614860775
112,44.30243,82,4.1000000000000005,0,11.50170589700058,4.1000000000000005,4.1000000000000005,5.686202703416352
113,301.518109,175,8.75,0,44.51398986396073,8.75,8.75,11.452733556926267
114,212.330564,143,7.15,0,33.144251539058736,7.15,7.15,8.89796438366176
115,420.26394,175,8.75,0,59.39539952841593,8.75,8.75,13.66974906027319
116,150.506949,128,6.4,0,25.219371270488825,6.4,6.4,8.824502474069606
117,104.542897,95,4.75,0,19.100608773813956,4.75,4.75,9.11085381656886
118,369.882096,177,8.85,0,53.11163247396893,8.85,8.85,12.057082785666008
119,389.989498,178,8.9,0,55.923265835563825,8.9,8.9,13.394620786607282
120,59.779564,76,3.8000000000000003,0,13.323247023573533,3.8000000000000003,3.8000000000000003,7.3909041166305585
121,133.946462,114,5.7,0,23.011232759173826,5.7,5.7,8.641800646483906
122,155.01193,164,8.200000000000001,0,26.36091349761532,8.200000000000001,8.200000000000001,9.959195002913484
123,203.760127,139,6.95,0,31.846161310468943,6.95,6.95,9.438407564163217
124,381.045776,197,9.850000000000001,0,54.95989173307042,9.850000000000001,9.850000000000001,11.335016249120251
125,455.068619,184,9.200000000000001,0,63.78737538051568,9.200000000000001,9.200000000000001,13.128120902180695
